symbol,M_0,M_2,M_4,M_8,M_79,F_0,F_2,F_4,F_8,F_79,cluster,color
B4galt5,-0.92,-0.9,0.46,2.28,0.63,-0.81,-0.92,0.01,0.04,0.15,1,#FF9900FF
Tmem189,-1.18,-0.98,1.52,1.1,0.54,-1.08,-1.06,0.66,0.2,0.27,1,#FF9900FF
Pck1,-1.43,-0.35,0.53,1.82,0.02,-1.42,-0.3,-0.25,0.97,0.39,1,#FF9900FF
Adrm1,-0.87,-0.94,-0.37,0.64,1.8,0.76,-0.79,-0.77,-0.65,1.17,2,#99FF00FF
Tspan7,0.3,0.71,-0.36,-1.49,-1.89,0.08,1.16,0.5,0.94,0.05,6,#9900FFFF
Cask,2.22,0.14,-0.73,-0.86,-0.73,1.29,-0.03,-0.46,-0.3,-0.54,4,#00FFFFFF
Maoa,1.69,0.61,-0.6,-1.32,-1.51,0.79,0.72,-0.15,0.21,-0.43,6,#9900FFFF
Maob,-0.45,-0.72,-0.97,0.04,1,-0.8,-0.65,-0.51,1.13,1.93,5,#0033FFFF
Kdm6a,0.3,-0.63,-1.3,-1.33,-0.91,1.73,0.64,0.75,0.45,0.3,4,#00FFFFFF
Chst7,-0.64,-0.56,0.07,1.32,2.29,-0.47,-0.5,-0.62,-0.53,-0.38,1,#FF9900FF
Usp11,1.67,0.08,-0.69,-0.79,-0.6,1.93,0.11,-0.71,-0.59,-0.42,4,#00FFFFFF
Klhl13,1.64,0.76,-0.82,-0.87,-0.87,0.99,1.13,-0.63,-0.57,-0.75,4,#00FFFFFF
Il13ra1,-0.26,-0.83,0.16,2.5,0.33,-0.61,-1.16,0.1,0.13,-0.36,3,#00FF33FF
Gria3,1.37,1.11,0.09,-0.31,-0.68,0.44,1.09,-0.35,-1.3,-1.46,4,#00FFFFFF
Apln,-1.27,1.2,0.32,-0.87,-0.92,-1.35,1.1,0.64,0.86,0.28,6,#9900FFFF
Xpnpep2,-0.04,1.57,-0.07,-1.01,-0.86,-0.04,1.93,-0.03,-0.75,-0.7,6,#9900FFFF
Hs6st2,1.67,-0.32,0.25,0.3,-0.86,1.75,-0.42,-0.65,-0.63,-1.08,4,#00FFFFFF
Gpc4,0.46,-0.6,-0.87,0.41,0.66,1.86,-0.81,-0.95,-1.09,0.93,2,#99FF00FF
Gpc3,1.95,0.27,-0.64,-0.7,-0.68,1.58,0.17,-0.63,-0.67,-0.65,4,#00FFFFFF
AW822252,-0.59,-0.7,-0.31,1.57,2.12,-0.63,-0.7,-0.41,-0.17,-0.18,1,#FF9900FF
Fhl1,-0.56,-0.67,0.48,1.74,1.83,-0.64,-0.65,-0.45,-0.41,-0.66,1,#FF9900FF
Zfp275,1.95,0.47,-0.47,-1.17,-0.66,1.27,0.47,-0.59,-0.57,-0.69,4,#00FFFFFF
Dnase1l1,-1.5,0.25,0.69,-0.3,-0.5,-1.72,0.21,1.18,0.99,0.71,7,#FF0099FF
Mpp1,-1.15,-0.67,0.55,2.01,0.98,-1.2,-0.62,-0.14,0.25,0,1,#FF9900FF
Pls3,2.08,0.23,-0.85,-0.94,-0.8,1.24,0.35,-0.43,-0.18,-0.7,4,#00FFFFFF
Fth1-ps,-1.11,-0.89,0.25,1.97,0.78,-1.1,-0.9,0.14,0.52,0.34,1,#FF9900FF
Pdk3,-1.23,-0.91,0.52,1.99,0.49,-0.99,-0.87,0.57,0.38,0.05,1,#FF9900FF
Eif2s3x,0.65,-1.32,-1.27,-0.84,-0.34,1.73,-0.21,-0.05,0.73,0.92,4,#00FFFFFF
Arhgef9,1.77,0.33,-0.69,-1.08,-0.98,1.22,0.9,-0.24,-0.51,-0.73,4,#00FFFFFF
Heph,1.36,1.03,-0.63,-0.91,-0.96,0.91,1.27,-0.51,-0.7,-0.85,4,#00FFFFFF
Ophn1,1.35,0.84,-1.07,-1.23,-0.9,1.01,1.19,-0.67,-0.24,-0.28,4,#00FFFFFF
Dlg3,1.21,-1.4,-0.1,-1.52,-0.43,1.08,-0.62,0.44,1.12,0.21,4,#00FFFFFF
Xist,-0.95,-0.95,-0.95,-0.95,-0.73,1.48,0.97,0.92,0.29,0.88,4,#00FFFFFF
Itm2a,1.92,0.13,-0.58,-0.73,-0.79,1.5,0.52,-0.55,-0.65,-0.76,4,#00FFFFFF
Tspan6,1.94,0.19,-0.7,-0.79,-0.81,1.47,0.42,-0.67,-0.32,-0.73,4,#00FFFFFF
Srpx2,-0.74,1.02,-0.26,-0.72,-0.51,-0.72,2.42,-0.04,-0.07,-0.39,6,#9900FFFF
Sytl4,-0.39,1.7,-0.53,-0.94,-0.89,-0.93,1.67,-0.06,-0.18,0.53,6,#9900FFFF
Bhlhb9,1.24,1,-0.45,-1.09,-1.11,1.31,0.95,-0.35,-0.68,-0.82,4,#00FFFFFF
Arxes2,1.67,-0.15,-0.6,-0.67,-0.69,2.01,-0.06,-0.62,-0.26,-0.63,4,#00FFFFFF
Bex4,1.51,-0.9,-0.86,-1.21,-0.7,0.99,-0.42,-0.37,1.06,0.89,4,#00FFFFFF
Radx,-0.73,-0.26,-0.58,-0.91,-0.68,-0.94,-0.05,1.49,1.56,1.11,7,#FF0099FF
Atg4a,-1.03,-0.78,0.29,1.8,1.34,-1.3,-0.6,0.31,0.17,-0.19,1,#FF9900FF
Ammecr1,2.12,0.6,-0.49,-0.39,-0.84,0.97,0.35,-0.44,-0.84,-1.03,4,#00FFFFFF
Capn6,2.03,-0.39,-0.52,-0.52,-0.5,1.75,-0.36,-0.51,-0.49,-0.48,4,#00FFFFFF
Maged2,1.76,0.42,-0.66,-0.79,-0.79,1.54,0.56,-0.63,-0.7,-0.7,4,#00FFFFFF
Kctd12b,1.44,1.03,-0.6,-1.08,-0.86,0.94,1.15,-0.56,-0.67,-0.79,4,#00FFFFFF
Sh3kbp1,1.94,0.45,-0.82,-0.98,-0.67,1.39,0.33,-0.64,-0.55,-0.44,4,#00FFFFFF
Reps2,-1.19,-0.83,0.75,1.36,1.31,-1.3,-0.91,0.25,0.22,0.34,1,#FF9900FF
Vegfd,0.67,0.87,-0.94,-1.49,-0.62,0.6,1.64,-0.85,-0.46,0.58,4,#00FFFFFF
Piga,0.01,-0.79,0.11,2.22,1,-0.44,-1.29,0.18,-0.62,-0.36,3,#00FF33FF
Asb11,-1.05,-0.93,1.59,1.34,-0.1,-1.06,-0.93,0.81,0.23,0.09,1,#FF9900FF
Asb9,-1.19,-0.5,1.46,1.34,0.3,-1.18,-0.26,1.01,-0.06,-0.92,1,#FF9900FF
Tmsb4x,1.16,1.11,-1.06,-1.45,-0.7,1.04,0.97,-0.79,-0.13,-0.14,4,#00FFFFFF
Hnf4g,-1.24,-0.52,0.71,1.56,1.21,-1.39,-0.82,-0.07,0.35,0.22,1,#FF9900FF
Zfp704,0.46,1.72,-0.5,-1.62,-1.32,0.14,0.86,0.62,-0.1,-0.27,6,#9900FFFF
Fabp5,1.48,-0.14,-0.63,-0.9,-0.62,2.12,0.03,-0.7,-0.37,-0.27,4,#00FFFFFF
Fabp4,0.76,-0.2,-0.66,-0.85,-0.55,0.51,0.5,-1.14,2.19,-0.56,5,#0033FFFF
Gm6300,-0.37,-0.4,-0.21,2.82,0.06,-0.38,-0.4,-0.4,-0.31,-0.4,3,#00FF33FF
Slc7a12,-0.76,-0.56,-0.07,-0.89,-0.54,-0.78,-0.6,1.56,1.62,1,7,#FF0099FF
E2f5,1.5,-0.36,0.5,1.58,-0.4,0.43,-0.7,-0.3,-0.69,-1.57,3,#00FF33FF
Rbis,2.15,-0.34,-0.15,0.71,-0.38,0.91,-0.8,-0.06,-0.87,-1.17,3,#00FF33FF
Car13,0.43,0.31,-0.58,-0.81,-0.23,-0.43,-0.26,-0.94,2.56,-0.06,5,#0033FFFF
Car3,-0.66,-0.54,-0.38,0.43,-0.04,-0.66,-0.23,-0.59,2.67,0,5,#0033FFFF
Cyp7b1,-0.38,-0.44,-0.41,2.59,0.89,-0.39,-0.44,-0.47,-0.46,-0.48,3,#00FF33FF
Armc1,-1.06,-0.68,0.61,2.18,0.48,-1.16,-0.62,0.35,0.25,-0.35,1,#FF9900FF
Mtfr1,-1.09,-0.81,0.45,1.87,1.11,-1.21,-0.76,0.16,0.38,-0.11,1,#FF9900FF
Cp,-0.97,-0.21,-0.57,-0.3,0.7,-1.05,-0.74,0.07,0.94,2.14,5,#0033FFFF
Hps3,-0.72,-1.06,0.06,1.45,1.76,-0.61,-1.18,0.03,-0.29,0.55,1,#FF9900FF
Mecom,1.94,0.33,-0.76,-1.07,-0.91,1.3,0.52,-0.53,-0.41,-0.41,4,#00FFFFFF
Bbs12,1.68,0.85,-0.54,-1.18,-1.44,0.02,1.08,-0.17,0.31,-0.62,6,#9900FFFF
Ankrd50,1.58,0.63,-0.72,-0.98,-0.77,1.6,0.53,-0.53,-0.66,-0.68,4,#00FFFFFF
Intu,-1.56,-0.53,0.76,0.8,1.12,-1.28,-0.53,1.07,-0.53,0.7,1,#FF9900FF
Abhd18,-0.27,-0.75,1.36,1.55,0.04,-1.15,-0.54,1.1,-0.23,-1.11,1,#FF9900FF
Maml3,1.59,0.35,-0.83,-0.88,-0.75,1.8,0.36,-0.49,-0.68,-0.48,4,#00FFFFFF
Frem2,1.51,1.02,-0.41,-0.97,-0.91,1.27,0.68,-0.48,-0.86,-0.84,4,#00FFFFFF
Postn,0.92,1.51,-0.74,-0.81,-0.81,0.88,1.26,-0.75,-0.73,-0.74,4,#00FFFFFF
Nbea,1.69,1.08,-0.72,-1.37,-0.69,0.93,0.63,-0.53,-0.63,-0.41,4,#00FFFFFF
Tm4sf4,0.24,-0.58,0.02,2.64,0.3,-0.25,-0.65,-0.37,-0.62,-0.73,3,#00FF33FF
Serp1,-1.53,-0.67,0.62,2.05,0.24,-0.45,-0.98,0.26,-0.13,0.58,1,#FF9900FF
P2ry14,-0.18,0.63,0.05,-0.93,-1.19,-0.74,0.5,-0.21,2.32,-0.26,6,#9900FFFF
Sucnr1,-0.54,-0.36,0.17,2.17,1.41,-0.73,-0.3,-0.73,-0.3,-0.79,3,#00FF33FF
Mme,2.18,0.07,-0.51,-1.19,-1.01,1.16,0.04,-0.11,-0.28,-0.34,4,#00FFFFFF
Slc33a1,-1.43,-0.47,1.09,1.53,0.08,-1.42,-0.38,0.92,0.34,-0.27,1,#FF9900FF
Gfm1,-1.18,-0.93,0.39,1.42,1.52,-0.95,-0.92,-0.02,-0.06,0.71,1,#FF9900FF
Lxn,0.82,1.34,-0.41,-1.1,-1.18,0.66,1.52,-0.43,-0.38,-0.84,4,#00FFFFFF
B3galnt1,-0.96,0.21,1.08,-1.25,-1.05,-1.13,0.48,1.33,0.83,0.46,7,#FF0099FF
4930579G24Rik,1.77,0.5,-0.44,-0.86,-0.93,1.28,0.78,-0.47,-0.66,-0.97,4,#00FFFFFF
Gucy1a1,1.65,0.84,-0.74,-0.9,-0.73,1.25,0.76,-0.62,-0.8,-0.72,4,#00FFFFFF
Lrat,-1.1,-0.89,-0.37,-0.07,1.15,-1.17,-0.8,1.12,1,1.14,5,#0033FFFF
Fgg,1.45,-1.1,-0.68,-0.32,0.9,-0.56,-1.44,-0.14,0.69,1.21,5,#0033FFFF
Fgb,2.43,-0.02,-0.8,-0.84,-0.67,0.79,0.14,-0.65,-0.48,0.1,4,#00FFFFFF
Cd1d1,0.8,0.31,-1.05,-1.08,-1,0.3,0.78,-0.8,1.91,-0.17,6,#9900FFFF
Pmf1,1.11,0.42,0.04,-0.78,-0.99,1.89,0.69,-0.61,-0.86,-0.92,4,#00FFFFFF
Trim46,-0.49,-0.53,-0.46,-0.4,-0.02,-0.11,-0.56,-0.36,0.17,2.76,2,#99FF00FF
Dcst1,-0.11,-0.73,1.8,1.48,0.79,-0.22,-0.78,-0.58,-0.77,-0.89,3,#00FF33FF
Rab13,0.85,1.17,-0.44,-1.15,-1.21,1.15,1.29,-0.42,-0.54,-0.7,4,#00FFFFFF
S100a13,-1.23,0.4,0.89,-0.21,-0.99,-1.47,0.25,1.17,1.37,-0.17,7,#FF0099FF
S100a6,-0.53,0.28,-1.16,-1.14,0.53,-0.28,0.09,-0.83,1.93,1.1,5,#0033FFFF
Sprr1a,-1.07,-0.28,-1.06,-0.87,0.91,1.16,-0.18,-0.93,0.89,1.43,2,#99FF00FF
Smcp,-0.8,-0.81,0.92,1.85,1.37,-0.8,-0.79,-0.36,-0.23,-0.35,1,#FF9900FF
Rorc,-0.24,1.09,0.59,0.68,-0.73,-0.65,1.58,-1.65,0.2,-0.87,6,#9900FFFF
Tdrkh,0.27,1.09,-0.61,-1.65,-1.16,-0.41,1.65,-0.02,0.27,0.56,6,#9900FFFF
Tuft1,-0.01,-0.61,-0.29,1.33,2.16,-0.1,-0.86,-1.07,-0.46,-0.09,1,#FF9900FF
Selenbp2,-0.8,-0.62,0.14,1.66,1.97,-0.8,-0.6,-0.44,-0.22,-0.29,1,#FF9900FF
Cdc42se1,-1.29,-0.75,0.61,1.88,1.25,-0.99,-0.48,-0.3,0.01,0.07,1,#FF9900FF
Ctsk,-0.51,1.8,-0.16,-0.72,-0.82,-0.5,1.9,-0.08,-0.36,-0.55,6,#9900FFFF
Ciart,-0.2,-1.23,1.24,0.95,-0.36,-0.42,-1.11,-0.66,1.74,0.06,1,#FF9900FF
Mtmr11,-1.16,-0.17,0.48,2.2,0.71,-1.26,-0.26,-0.04,-0.63,0.12,1,#FF9900FF
H2bc21,1.58,0.14,0.03,-0.9,-1.64,0.09,0.67,0.95,0.31,-1.23,6,#9900FFFF
Gm15441,-0.02,-0.44,-0.32,2.76,0.22,-0.19,-0.56,-0.47,-0.49,-0.5,3,#00FF33FF
Gja5,0.67,1.53,-0.75,-0.93,-0.91,-0.18,1.82,-0.15,-0.58,-0.51,6,#9900FFFF
Fmo5,-0.59,-0.56,-0.05,1.88,1.86,-0.61,-0.54,-0.56,-0.37,-0.46,3,#00FF33FF
Notch2,2.37,0.11,-0.71,-0.78,-0.66,1.06,-0.09,-0.3,-0.33,-0.68,4,#00FFFFFF
Hmgcs2,-0.84,1.34,-0.2,-0.21,-0.57,-0.9,2.19,-0.59,-0.32,0.1,6,#9900FFFF
Gm4450,-0.87,-1.11,0.65,0.07,-0.17,-0.95,-1.11,0.88,1.68,0.91,5,#0033FFFF
Gm10681,-0.87,-0.97,0.27,-0.14,-0.29,-0.94,-0.86,1.1,1.92,0.79,5,#0033FFFF
Hsd3b2,-0.95,-0.81,0.85,1.95,1.12,-0.95,-0.82,-0.02,-0.12,-0.25,1,#FF9900FF
Hsd3b3,-0.97,-0.93,0.24,1.74,1.33,-0.99,-0.93,-0.32,0.6,0.24,1,#FF9900FF
Hao2,-0.91,-0.83,-0.18,-0.4,0.09,-0.99,-0.82,1.14,1.66,1.25,5,#0033FFFF
Olfml3,0.28,1.92,-0.77,-0.98,-0.72,0.5,1.42,-0.56,-0.51,-0.58,6,#9900FFFF
Magi3,-0.36,0.73,-0.5,-2.01,-0.21,-0.55,1.6,0.16,1.06,0.08,6,#9900FFFF
Slc16a1,1.16,1.07,-0.53,-0.32,-0.64,0.79,0.56,0.78,-1.38,-1.5,4,#00FFFFFF
Rhoc,-0.61,0.42,-0.06,2.55,0.37,-0.39,-0.09,-0.89,-0.52,-0.78,3,#00FF33FF
St7l,-1.16,-0.77,-0.06,1.72,1.52,-0.88,-0.93,0.16,0.06,0.35,1,#FF9900FF
Dennd2d,-1.11,-0.44,-0.09,-0.32,0.12,-1.34,0.07,-0.01,2.17,0.96,5,#0033FFFF
Cym,-1,-0.92,0.25,1.94,0.74,-1,-0.96,-0.25,0.4,0.8,1,#FF9900FF
Prok1,-1.05,-1.05,0.21,1.5,0.76,-1.04,-1.05,-0.06,0.63,1.15,1,#FF9900FF
Slc16a4,-1.34,-0.47,0.89,0.35,-0.38,-1.44,-0.46,1.34,1.33,0.19,7,#FF0099FF
Slc6a17,-1.68,-0.14,1.09,-0.72,0.2,-1.27,-0.06,1.1,0.25,1.23,7,#FF0099FF
Gstm6,0.48,-0.85,-1.11,-1.26,0.02,0.35,-0.83,0.3,1.72,1.16,5,#0033FFFF
Gstm2,-1.39,-0.33,0.22,0.17,-0.37,-1.53,0.38,1,1.81,0.03,7,#FF0099FF
Sypl2,-1.16,-0.57,1.75,1.45,0.35,-1.16,-0.8,0.14,0.14,-0.13,1,#FF9900FF
Sort1,-0.47,1.06,-0.25,-1.46,-1.19,-0.9,1.02,0.82,1.23,0.14,6,#9900FFFF
Amy1,-0.55,-0.58,-0.16,-0.37,0.11,-0.63,-0.32,-0.43,2.73,0.2,5,#0033FFFF
Olfm3,-1.38,-0.79,0.04,0.66,1.63,-1.37,-0.62,0.64,0.7,0.48,1,#FF9900FF
Frrs1,-1.11,-0.71,0.92,1.14,1.72,-1.22,-0.77,0.21,-0.18,-0.01,1,#FF9900FF
Plppr4,-1.19,0.86,-0.26,-1.09,-0.6,-1.33,0.7,1.06,0.71,1.15,7,#FF0099FF
Tlcd4,-0.9,-0.9,-0.04,1.14,2.07,-1,-0.81,-0.06,0.24,0.26,1,#FF9900FF
Abcd3,-1.28,-0.68,0.46,1.88,0.63,-1.37,-0.66,0.14,0.55,0.32,1,#FF9900FF
Abca4,-1.49,-0.09,0.81,-0.65,-0.17,-1.67,0.91,0.96,0.41,0.97,7,#FF0099FF
Gclm,-1.33,-0.37,1.07,1.54,0.2,-1.49,-0.59,0.9,0.3,-0.22,1,#FF9900FF
Ugt8a,-0.49,-0.6,0.2,1.96,1.72,-0.51,-0.54,-0.61,-0.53,-0.58,3,#00FF33FF
Ank2,1.87,0.05,-0.42,-1.74,-1.01,0.84,-0.29,0.68,-0.1,0.11,4,#00FFFFFF
Fam241a,-0.51,-0.05,0.31,-0.28,-0.9,-1.2,1.23,1.2,1.39,-1.19,7,#FF0099FF
Elovl6,0.26,0.06,-0.93,-1.68,-1.07,0.11,0.32,0.13,1.44,1.37,6,#9900FFFF
Rrh,-1.04,-0.5,0.01,-0.61,-0.33,-1.03,-0.46,0.66,1.65,1.66,5,#0033FFFF
Cfi,2.09,-0.26,-0.68,-0.74,-0.43,1.6,-0.44,-0.69,-0.26,-0.2,4,#00FFFFFF
Etnppl,-1.07,0.37,-0.25,0.72,2.1,-1.27,0.58,0.07,-0.64,-0.61,7,#FF0099FF
Npnt,0.36,1.43,-0.68,-1.09,-1.03,1.05,1.45,-0.23,-0.83,-0.42,6,#9900FFFF
Arhgef38,2.16,-0.15,0.16,-1.19,-1.13,0.8,-0.17,0.57,-0.37,-0.69,4,#00FFFFFF
Emcn,-0.96,0.97,0.34,-0.7,-0.85,-1.31,1.54,0.37,1.15,-0.53,7,#FF0099FF
0610031O16Rik,-0.5,-0.52,0.29,2.54,0.78,-0.49,-0.53,-0.51,-0.48,-0.57,3,#00FF33FF
Adh1,-0.84,-0.47,0.12,2.32,1.15,-0.84,-0.27,-0.5,-0.11,-0.57,3,#00FF33FF
Gbp7,-0.62,0.15,-0.85,-0.41,0.11,-1.45,-0.78,1.27,1.48,1.09,7,#FF0099FF
Gbp3,-0.26,-0.67,-0.68,-0.92,-0.45,-0.31,-0.76,0.98,2.12,0.93,5,#0033FFFF
Gbp2,-1.4,-0.39,-0.1,0.21,1.27,-1.38,-0.78,0.3,1.1,1.18,5,#0033FFFF
Kyat3,-0.75,-0.93,-0.27,-0.02,-0.14,-0.81,-0.93,0.62,2.04,1.2,5,#0033FFFF
Ccn1,0.21,0,-1.09,-0.28,1.16,1.58,0.7,-1.27,-1.29,0.28,2,#99FF00FF
Ddah1,-0.95,-0.74,0.77,1.97,0.94,-1.14,-0.83,0.25,0.11,-0.37,1,#FF9900FF
Mcoln2,-1.27,0.12,0.19,-0.74,-0.6,-1.43,0.13,1.43,1.07,1.08,7,#FF0099FF
Ctbs,-0.82,-0.57,0.91,2.17,0.71,-1.09,-0.54,-0.03,-0.03,-0.71,1,#FF9900FF
St6galnac3,1.98,0.02,-0.71,-0.71,-0.74,1.57,0.28,-0.46,-0.64,-0.6,4,#00FFFFFF
Tyw3,0.14,-0.26,1.97,0.74,-1.06,-0.71,-0.64,1.18,-0.44,-0.92,3,#00FF33FF
Cryz,-1.53,-0.18,0.49,1.68,0.83,-1.62,-0.15,0.32,0.33,-0.17,1,#FF9900FF
Ptger3,-1.08,-0.79,0.02,-0.27,0.66,-0.92,-0.87,0.72,0.42,2.1,5,#0033FFFF
Car8,0.54,-1.06,-1.38,-0.91,0.23,1.02,-0.08,-0.83,1.36,1.1,4,#00FFFFFF
Gem,-0.2,-0.2,-1.55,-0.94,-0.36,0.21,0.69,-0.44,2.07,0.72,6,#9900FFFF
Pdp1,2.01,0.51,-0.82,-0.82,-1.05,1.08,0.25,0.11,-0.33,-0.94,4,#00FFFFFF
Triqk,1.09,0.82,-0.86,-1.26,-1.38,0.35,1.25,0.41,0.49,-0.91,6,#9900FFFF
Wwp1,-0.6,-0.69,1.37,1.77,0.97,-0.91,-0.82,0.02,-0.33,-0.79,1,#FF9900FF
Slc7a13,-0.58,-0.46,0.67,2.28,1.03,-0.6,-0.43,-0.59,-0.66,-0.66,3,#00FF33FF
Ggh,-0.74,0.13,-0.61,-0.7,-0.54,-1.55,0.74,0.49,1.75,1.02,5,#0033FFFF
Mdn1,1.29,-0.78,-0.67,1.45,0.97,0.57,-1.09,-1.24,-0.42,-0.08,2,#99FF00FF
Akirin2,0.7,0.49,0.06,2.13,-0.03,-0.51,-0.15,-0.05,-1.26,-1.37,3,#00FF33FF
Rars2,-0.65,-0.66,0.68,2.13,0.23,-1.24,-0.73,0.58,0.37,-0.73,1,#FF9900FF
Ddx58,0.8,0.61,-1.04,-1.97,1.04,-0.41,0.23,-0.44,-0.06,1.25,6,#9900FFFF
Dnaja1,-0.41,-0.68,0.6,2.46,-0.11,-0.89,-0.7,-0.09,0.46,-0.65,1,#FF9900FF
B4galt1,1.58,0.98,-0.59,0.95,-0.43,0.28,0.48,-0.82,-0.92,-1.51,3,#00FF33FF
Myorg,-1.17,-0.46,-0.21,0.17,2.12,-0.71,-0.43,-0.26,-0.41,1.38,2,#99FF00FF
Vcp,-0.28,-0.75,-0.28,0.57,1.4,1.56,-0.95,-0.97,-1.06,0.77,2,#99FF00FF
Ccdc107,-1.44,-0.79,0.74,1.21,1.28,-1.25,-0.78,0.14,0.28,0.61,1,#FF9900FF
Arhgef39,-0.66,0.59,2.15,0,0.16,-0.86,0.84,-0.18,-0.97,-1.07,7,#FF0099FF
Car9,-1.28,-0.19,0.16,1.03,2.06,-1.25,0.32,-0.46,-0.3,-0.09,7,#FF0099FF
Npr2,-0.64,-0.79,-0.88,-0.47,1.52,-0.2,-0.91,-0.07,0.59,1.85,5,#0033FFFF
Reck,0.67,1.59,-0.64,-1.08,-0.76,0.62,1.5,-0.49,-0.72,-0.69,6,#9900FFFF
Gm12678,-1.23,-0.76,1.18,1.87,0.19,-1.17,-0.46,0.39,0.36,-0.38,1,#FF9900FF
Grhpr,-1.24,-0.52,1.1,2.02,0.23,-1.17,-0.44,0.3,0.15,-0.44,1,#FF9900FF
Fbxo10,-0.58,-1,0.13,1.05,1.75,0.73,-0.77,-0.35,-1.41,0.45,2,#99FF00FF
Aldh1b1,1.32,0.57,-0.54,-1.36,-1.3,1.4,0.88,-0.19,-0.45,-0.33,4,#00FFFFFF
Stra6l,-1.04,-1.02,-0.03,1.46,1.29,-1.02,-1.11,0.5,0.28,0.69,1,#FF9900FF
Acnat2,-1.02,-1.01,0.15,1.51,1.09,-1.05,-1.03,-0.22,0.69,0.88,1,#FF9900FF
Acnat1,-1.31,-0.56,0.53,-0.27,0.11,-1.3,-0.68,1.53,1.29,0.66,5,#0033FFFF
Baat,-1.13,-0.11,0.04,-0.9,-0.46,-1.14,-0.07,1.75,1.39,0.63,7,#FF0099FF
Abca1,0.51,1.87,-1.18,-1.32,-0.13,-0.1,1.3,-0.55,-0.25,-0.14,6,#9900FFFF
Slc44a1,1.06,1.36,-0.35,-0.95,-1.22,-0.22,1.22,-0.17,0.57,-1.28,6,#9900FFFF
Zfp462,1.09,0.83,-0.5,-1.59,-0.65,1.43,0.95,-0.24,-0.75,-0.57,4,#00FFFFFF
Epb41l4b,-1.2,0.34,0.23,-0.74,-1.02,-1.23,0.26,1.09,1.61,0.67,7,#FF0099FF
D630039A03Rik,-1.57,-0.12,0.28,-0.46,0.41,-1.67,0.26,1.45,0.49,0.93,7,#FF0099FF
Lpar1,1.77,0.16,-0.73,-0.89,-0.88,1.74,0.22,-0.41,-0.41,-0.58,4,#00FFFFFF
Ptgr1,-0.11,-0.66,1.16,1.07,1.57,0.11,-0.09,-0.75,-0.73,-1.58,1,#FF9900FF
Ugcg,1.96,0.07,-1.13,0.26,0.65,1.05,-0.39,-1.04,-0.87,-0.55,2,#99FF00FF
Hdhd3,-1.65,0.04,1.38,0.99,0.29,-1.67,0.41,0.3,0.3,-0.39,1,#FF9900FF
Rgs3,-0.28,1.33,-1.2,-0.78,-1.33,0.59,1.49,-0.26,0.76,-0.34,6,#9900FFFF
Kif12,-1.64,-0.16,1.02,1.55,-0.53,0.36,0.63,-0.37,-1.3,0.43,1,#FF9900FF
Orm1,-0.51,-0.5,-0.29,-0.31,0.14,-0.51,-0.48,-0.5,2.73,0.26,5,#0033FFFF
Tnfsf15,-1.6,0.28,-0.18,-0.29,0.29,-1.54,-0.25,0.93,1.38,0.97,7,#FF0099FF
Pappa,0.58,0.34,-1.16,-1.72,-0.94,0.71,1.38,-0.08,-0.08,0.97,6,#9900FFFF
Megf9,1.54,-0.46,-0.37,-1.24,-1.23,0.46,-0.07,0.87,1.28,-0.77,6,#9900FFFF
Plin2,-1.49,-0.34,0.81,1.51,0.26,-1.52,-0.19,-0.27,1.11,0.12,1,#FF9900FF
Hacd4,1.56,-0.19,-1.25,-1.25,-0.52,1.26,0.72,-0.8,0.6,-0.12,4,#00FFFFFF
Plaa,0.98,-0.5,0.64,1.56,-0.26,0.31,-1.05,0.71,-0.84,-1.57,3,#00FF33FF
Cyp2j13,-0.43,-0.53,-0.19,2.11,1.64,-0.46,-0.54,-0.54,-0.53,-0.53,3,#00FF33FF
Cyp2j5,-1.19,-0.76,0.88,1.78,0.78,-1.26,-0.75,0.38,0.33,-0.19,1,#FF9900FF
Angptl3,-0.73,-0.73,-0.31,-0.49,0.3,-0.82,-0.71,0.28,0.85,2.35,5,#0033FFFF
Ak4,-1.14,-0.96,1.14,1.33,0.31,-1.17,-1.01,0.19,1.06,0.25,1,#FF9900FF
Lepr,1.47,0.93,-1.02,-1.08,-0.93,0.82,1.2,-0.65,-0.16,-0.58,4,#00FFFFFF
C8a,-0.85,-0.87,-0.49,0.63,0.38,-0.86,-0.87,-0.29,1.61,1.6,5,#0033FFFF
Dio1,-1.42,-0.04,0.72,-0.4,-0.55,-1.41,-0.24,1.53,0.96,0.85,7,#FF0099FF
Cpt2,-1.45,-0.63,0.67,1.74,0.6,-1.41,-0.42,-0.09,0.53,0.44,1,#FF9900FF
Podn,-1.72,0.03,0.48,0.76,1.01,-1.72,0.62,-0.11,-0.23,0.88,7,#FF0099FF
Echdc2,-1.19,-0.9,0.55,1.73,1.04,-1.08,-0.89,-0.11,0.24,0.61,1,#FF9900FF
Gpx7,1,1.32,-0.37,-0.94,-1.03,1.05,1.17,-0.48,-0.79,-0.92,4,#00FFFFFF
Osbpl9,-1.07,-0.8,0.82,1.97,0.71,-1.11,-0.85,0.13,0.39,-0.19,1,#FF9900FF
Cdkn2c,-1.41,-0.74,0.55,0.25,1.04,-1.41,-0.76,0.31,1.12,1.04,5,#0033FFFF
Bend5,-1.03,-0.81,1.61,1.67,0.3,-0.73,-0.94,0.49,-0.33,-0.24,3,#00FF33FF
Spata6,1.12,0.69,-0.35,-0.19,-0.06,1.88,-0.05,-0.82,-1.57,-0.65,4,#00FFFFFF
